PLANT,Site,Site Code,VISIT_DATE,OBSERVER,ORGANIZATION,VISIT_STATUS_NUM,VISIT_STATUS_CHAR,SEARCH_SQFT,GROSS_SQFT,PLANT_COUNT,PERCENT_COVER,AGE_SIZE,DISTRIBUTION,PHENOLOGY,NATIVE,NON_NAT,iMap Searched Record,iMap Pres/Not Det,iMap Treat,WIND_SPEED,WIND_DIR,TEMP,PERCENT_TREATED,GROSS_TREAT_SQFT,ACTUAL_HERBICIDE_SQFT,PU_COUNT,PU_PERCENT,FO_COUNT,FO_PERCENT,CO_COUNT,CO_PERCENT,CS_COUNT,BB_COUNT,HS_COUNT,HERBICIDE_NAME,AI_CONCENTRATION,AMT_OF_MIX,MIX_UNITS,AMT_OF_PRODUCT,PRODUCT_UNITS,PHOTO_NAMES,Notes
,,ATNY_SAGL12_001,2022-06-26T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,2,completely treated,10005,1297,28,<5,mature,sparse,vegetative,medium,medium,,,,,,,51-75,3298,,,,28,100,,,,,,Roundup Custom For Aquatic and Terrestrial Use,1.08,0.12,gal,0.31,FL,,
,,ATNY_SAGL12_001,2022-07-08T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,2,completely treated,15619,337,9,<5,mature,sparse,vegetative,medium,high,,,,,,,76-100,338,,,,9,100,,,,,,Roundup Custom For Aquatic and Terrestrial Use,1.08,0.12,gal,0.38,FL,,
,,ATNY_SAGL12_001,2022-08-12T04:00:00Z,Arden Blumenthal,New York - New Jersey Trail Conference,3,no plants 1st year,222852,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_AREL8_,ATNY,ATNY_SAGL12_002,2017-06-29T04:00:00Z,Spencer Barrett,New York - New Jersey Trail Conference,2,completely treated,,1600,,26-50,adult non-reproducing,,vegetative,,,,,,,,,76-100,1600,800,,,,100,,,,,,Accord XRT II,1,0.75,gal,2,FL,,
_LISI_,ATNY,ATNY_SAGL12_002,2018-06-17T04:00:00Z,Alex Perri,New York - New Jersey Trail Conference,1,partially treated,,931754,,<5,adult non-reproducing,,vegetative,,,,,,,,,25-Oct,,,,,,0,,,,,,Accord XRT II,2,3,gal,7.68,FL,,
_CYSC4_,ATNY,ATNY_SAGL12_002,2019-08-09T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,2,completely treated,,271,,25-May,mature,,immature fruit,,,,,,,,,76-100,271,271.49,,,,100,,,,,,Accord XRT II,5,0.06,gal,0.39,FL,,Duell Hollow Rd to Leather Hill Rd. to AT intersection make a right (East) and hike to the Wiley shelter.
_BETH_,ATNY,ATNY_SAGL12_002,2020-08-21T04:00:00Z,Devyani Mishra,New York - New Jersey Trail Conference,2,completely treated,,5,6,<5,seedling,trace,vegetative,low,high,,,,,,,76-100,5,,,,6,,,,,,,Accord XRT II,1,0.01,gal,0.01,FL,,
_ACAR10_,ATNY,ATNY_SAGL12_002,2021-06-15T04:00:00Z,Arden Blumenthal,New York - New Jersey Trail Conference,0,untreated,149000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_ROMU_,ATNY,ATNY_SAGL12_002,2021-07-10T04:00:00Z,Kassidy Robinson,New York - New Jersey Trail Conference,2,completely treated,70132,669,12,<5,sapling,trace,vegetative,high,medium,,,,,,,76-100,387,,,,12,,,,,,,Rodeo,0.005,20,FL,1,FL,,
,,ATNY_SAGL12_002,2022-06-26T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,1,partially treated,19487,35,8,<5,mature,sparse,vegetative,medium,high,,,,,,,51-75,35,,,,8,100,,,,,,Roundup Custom For Aquatic and Terrestrial Use,1.08,0.06,gal,0.15,FL,,
,,ATNY_SAGL12_002,2022-07-08T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,2,completely treated,134433,51,,<5,NA,NA,NA,medium,high,,,,,,,76-100,NA,,,,10,100,,,,,,Roundup Custom For Aquatic and Terrestrial Use,1.08,0.12,gal,0.38,FL,,
,,ATNY_SAGL12_002,2022-08-12T04:00:00Z,Arden Blumenthal,New York - New Jersey Trail Conference,2,completely treated,98599,2493,4,<5,mature,sparse,vegetative,,,,,,,,,76-100,2493,,4,,,,,,,,,,,,,,,,
_AREL8_,ATNY,ATNY_SAGL12_003,2017-06-29T04:00:00Z,Spencer Barrett,New York - New Jersey Trail Conference,2,completely treated,,3000,,76-100,adult non-reproducing,,vegetative,,,,,,,,,76-100,3000,3000,,,,100,,,,,,Accord XRT II,1,2,gal,2.5,oz,,
_CYSC4_,ATNY,ATNY_SAGL12_003,2019-08-09T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,1,partially treated,,1007,,25-May,mature,,immature fruit,,,,,,,,,76-100,1007,1007.16,,,,100,,,,,,Accord XRT II,5,0.3,gal,1.95,FL,,Duell Hollow Rd to Leather Hill Rd. to AT intersection plants on right (East) before and after intersection.
_CYSC4_,ATNY,ATNY_SAGL12_003,2019-09-13T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,1,partially treated,,10713,,<5,mature,,immature fruit,,,,,,,,,76-100,10713,10713,,,,100,,,,,,Accord XRT II,2.5,2,gal,6.5,FL,,
_BETH_,ATNY,ATNY_SAGL12_003,2020-08-22T04:00:00Z,Devyani Mishra,New York - New Jersey Trail Conference,1,partially treated,,106722,,26-50,mature,dense plants/clumps,flower,low,high,,,,,,,76-100,16117,,,,,76-100,,,,,,Accord XRT II,1,0.6,gal,1.56,FL,,
_AREL8_,ATNY,ATNY_SAGL12_003,2020-08-23T04:00:00Z,Devyani Mishra,New York - New Jersey Trail Conference,1,partially treated,,106722,,76-100,mature,dense plants/clumps,flower,low,high,,,,,,,76-100,30492,,,,,76-100,,,,,,Accord XRT II,1,1.8,gal,4.78,FL,,
_BETH_,ATNY,ATNY_SAGL12_003,2020-08-23T04:00:00Z,Devyani Mishra,New York - New Jersey Trail Conference,1,partially treated,,106722,,76-100,mature,dense plants/clumps,flower,low,high,,,,,,,76-100,30492,,,,,26-50,,,,,,Rodeo,1,0.84,gal,2.23,FL,,
_AREL8_,ATNY,ATNY_SAGL12_003,2020-08-24T04:00:00Z,Devyani Mishra,New York - New Jersey Trail Conference,1,partially treated,,106722,,51-75,mature,dense plants/clumps,flower,low,high,,,,,,,51-75,39204,,,,,51-75,,,,,,Accord XRT II,1,2.5,gal,7.34,FL,,
_ACPA2_,ATNY,ATNY_SAGL12_003,2020-10-02T04:00:00Z,Arden Blumenthal,New York - New Jersey Trail Conference,0,untreated,,328393,,<5,mature,sparse,mature fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_RULA_,ATNY,ATNY_SAGL12_003,2021-07-10T04:00:00Z,Kassidy Robinson,New York - New Jersey Trail Conference,2,completely treated,447361,249598,2095,26-50,mature,dense plants/clumps,vegetative,medium,medium,,,,,,,76-100,246114,,,,2095,,,,,,,Rodeo,0.005,2368,FL,11.84,FL,,
_POPE10_,ATNY,ATNY_SAGL12_003,2021-07-11T04:00:00Z,Kassidy Robinson,New York - New Jersey Trail Conference,2,completely treated,313632,248292,857,51-75,mature,dense plants/clumps,vegetative,medium,medium,,,,,,,76-100,248292,,,,857,,,,,,,Accord XRT II,0.005,256,FL,1.34,FL,,
_POPE10_,ATNY,ATNY_SAGL12_003,2021-07-11T04:00:00Z,Kassidy Robinson,New York - New Jersey Trail Conference,2,completely treated,313632,248292,2868,51-75,mature,dense plants/clumps,vegetative,medium,medium,,,,,,,76-100,248292,,,,2868,,,,,,,Rodeo,0.005,1116.6,FL,5.583,FL,,
,,ATNY_SAGL12_003,2022-06-26T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,1,partially treated,268899,79442,422,25-May,mature,dense plants/clumps,vegetative,low,high,,,,,,,26-50,41869,,,,422,100,,,,,,Roundup Custom For Aquatic and Terrestrial Use,1.08,1.08,gal,2.76,FL,,
,,ATNY_SAGL12_003,2022-07-08T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,2,completely treated,496791,125686,439,25-May,mature,dense plants/clumps,vegetative,medium,medium,,,,,,,76-100,125686,,,,439,100,,,,,,Roundup Custom For Aquatic and Terrestrial Use,1.08,1.32,gal,3.37,FL,,
,,ATNY_SAGL12_003,2022-08-08T04:00:00Z,Arden Blumenthal,New York - New Jersey Trail Conference,0,untreated,48261,8791,30,25-May,mature,sparse,vegetative,,,,,,,,,0,NA,,,,,,,,,,,,,,,,,,
,,ATNY_SAGL12_003,2022-08-12T04:00:00Z,Arden Blumenthal,New York - New Jersey Trail Conference,2,completely treated,292979,113028,71,<5,mature,sparse,flower,,,,,,,,,76-100,113029,,71,,,,,,,,,,,,,,,,
,,ATNY_SAGL12_003,2022-08-13T04:00:00Z,Arden Blumenthal,New York - New Jersey Trail Conference,1,partially treated,292277,33641,139,<5,mature,sparse,vegetative,,,,,,,,,76-100,29460,,99,,,,,,,,,,,,,,,,
_AREL8_,ATNY,ATNY_SAGL12_004,2017-06-29T04:00:00Z,Spencer Barrett,New York - New Jersey Trail Conference,2,completely treated,,6400,,<5,adult non-reproducing,,vegetative,,,,,,,,,76-100,6400,320,,,,100,,,,,,Accord XRT II,1,0.5,gal,0.005,gal,,
_CYSC4_,ATNY,ATNY_SAGL12_004,2019-09-08T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,1,partially treated,,64422,,<5,mature,,mature fruit,,,,,,,,,25-Oct,6422,6422.25,,,,100,,,,,,Accord XRT II,2.5,6.8,gal,22.1,FL,,
_CYSC4_,ATNY,ATNY_SAGL12_004,2019-09-14T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,1,partially treated,,10713,,<5,mature,,mature fruit,,,,,,,,,25-Oct,10713,10713.13,,,,100,,,,,,Accord XRT II,2.5,0.96,gal,3.1,FL,,"AT intersection left (West), North & South of trail."
_CYSC4_,ATNY,ATNY_SAGL12_004,2020-08-03T04:00:00Z,Devyani Mishra,New York - New Jersey Trail Conference,2,completely treated,,189921,1433,25-May,mature,dense plants/clumps,flower,medium,medium,,,,,,77,76-100,173804,,,,1433,,,,,,,Accord XRT II,1,1.92,gal,5.107,FL,,
_ACPA2_,ATNY,ATNY_SAGL12_004,2020-10-02T04:00:00Z,Arden Blumenthal,New York - New Jersey Trail Conference,0,untreated,,201312,,<5,mature,sparse,mature fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_ACAR10_,ATNY,ATNY_SAGL12_004,2021-06-21T04:00:00Z,Kassidy Robinson,New York - New Jersey Trail Conference,2,completely treated,206039,169884,646,26-50,mature,dense plants/clumps,vegetative,medium,medium,1168093,,,,,,76-100,149846,,,,646,,,,,,,Accord XRT II,0.005,322.1,FL,1.61,FL,,
_ACAR10_,ATNY,ATNY_SAGL12_004,2021-06-21T04:00:00Z,Kassidy Robinson,New York - New Jersey Trail Conference,2,completely treated,206039,169884,44,26-50,mature,dense plants/clumps,vegetative,medium,medium,1168093,,,,,,76-100,149846,,,,44,,,,,,,Rodeo,0.005,23.01,FL,0.12,FL,,
,,ATNY_SAGL12_004,2022-06-26T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,2,completely treated,165791,112602,393,<5,mature,dense plants/clumps,vegetative,medium,high,,,,,,,76-100,112603,,,,393,100,,,,,,Roundup Custom For Aquatic and Terrestrial Use,1.08,2.4,gal,6.14,FL,,
_AREL8_,ATNY,ATNY_SAGL12_005,2017-06-29T04:00:00Z,Spencer Barrett,New York - New Jersey Trail Conference,2,completely treated,,600,,<5,adult non-reproducing,,vegetative,,,,,,,,,76-100,600,30,,,,100,,,,,,Accord XRT II,1,0.1,gal,0.001,gal,,
_CYSC4_,ATNY,ATNY_SAGL12_005,2019-09-07T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,1,partially treated,,6520,,<5,mature,,mature fruit,,,,,,,,,25-Oct,6520,6519.5,,,,100,,,,,,Accord XRT II,5,2.6,gal,16.7,FL,,Follow AT left (West) about 750ft. Plants on left (South) of trail.
_CYSC4_,ATNY,ATNY_SAGL12_005,2019-09-15T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,1,partially treated,,16276,,25-May,mature,,mature fruit,,,,,,,,,25-Oct,16276,16276.485,,,,100,,,,,,Accord XRT II,2.5,8.9,gal,28.8,FL,,
_CYSC4_,ATNY,ATNY_SAGL12_005,2020-08-09T04:00:00Z,Devyani Mishra,New York - New Jersey Trail Conference,1,partially treated,,454330,953,<5,mature,sparse,flower,,,,,,,,,76-100,157687,,,,953,76-100,,,,,,Accord XRT II,1,2.27,gal,2.91,FL,,
_BETH_,ATNY,ATNY_SAGL12_005,2020-08-21T04:00:00Z,Devyani Mishra,New York - New Jersey Trail Conference,2,completely treated,,454330,975,26-50,seedling,dense plants/clumps,flower,high,medium,,,,,,,76-100,182516,,,,975,,,,,,,Accord XRT II,1,4.01,gal,10.68,FL,,
_BETH_,ATNY,ATNY_SAGL12_005,2020-08-22T04:00:00Z,Devyani Mishra,New York - New Jersey Trail Conference,2,completely treated,,454330,,25-May,mature,sparse,flower,high,medium,,,,,,,76-100,114127,,60,,807,,,,,,,Accord XRT II,1,1.32,gal,3.52,FL,,
_ACAR10_,ATNY,ATNY_SAGL12_005,2021-06-20T04:00:00Z,Kassidy Robinson,New York - New Jersey Trail Conference,1,partially treated,618552,466527,3887,25-May,mature,dense plants/clumps,vegetative,high,low,,,,,,,51-75,296644,,,,3887,,,,,,,Accord XRT II,0.005,528,FL,2.64,FL,,uneven terrain/steep slopes
_ACAR10_,ATNY,ATNY_SAGL12_005,2021-06-21T04:00:00Z,Kassidy Robinson,New York - New Jersey Trail Conference,1,partially treated,618552,466527,842,25-May,mature,dense plants/clumps,vegetative,high,low,,,,,,,51-75,296644,,,,842,,,,,,,Accord XRT II,0.005,272,FL,1.36,FL,,uneven terrain/steep slopes
_ACAR10_,ATNY,ATNY_SAGL12_005,2021-06-21T04:00:00Z,Kassidy Robinson,New York - New Jersey Trail Conference,1,partially treated,618552,466527,153,25-May,mature,dense plants/clumps,vegetative,high,low,,,,,,,51-75,296644,,,,153,,,,,,,Rodeo,0.005,88,FL,0.44,FL,,uneven terrain/steep slopes
_RULA_,ATNY,ATNY_SAGL12_005,2021-07-09T04:00:00Z,Kassidy Robinson,New York - New Jersey Trail Conference,2,completely treated,675180,500068,157,26-50,mature,dense plants/clumps,vegetative,medium,medium,,,,,,,25-Oct,296644,,,,157,,,,,,,Accord XRT II,0.005,92,FL,0.46,FL,,
_RULA_,ATNY,ATNY_SAGL12_005,2021-07-10T04:00:00Z,Kassidy Robinson,New York - New Jersey Trail Conference,2,completely treated,672131,492663,1302,25-May,mature,dense plants/clumps,vegetative,medium,medium,,,,,,,76-100,450410,,,,1302,,,,,,,Rodeo,0.005,467.96,FL,2.33,FL,,30.7/1.5 = x/11.84
,,ATNY_SAGL12_005,2022-06-26T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,1,partially treated,756152,26505,45,<5,mature,sparse,vegetative,medium,medium,,,,,,,76-100,26505,,,,45,100,,,,,,Roundup Custom For Aquatic and Terrestrial Use,1.08,0.299,gal,0.76,FL,,
,,ATNY_SAGL12_005,2022-07-09T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,2,completely treated,756152,193387,456,25-May,mature,dense plants/clumps,bud,low,high,,,,,,,76-100,193388,,,,456,100,,,,,,Roundup Custom For Aquatic and Terrestrial Use,1.08,2.04,gal,5.21,FL,,
,,ATNY_SAGL12_005,2022-08-05T04:00:00Z,Arden Blumenthal,New York - New Jersey Trail Conference,2,completely treated,359525,359524.6,44,<5,mature,sparse,flower,,,,,,,,,76-100,359524.6,,44,,,,,,,,,,,,,,,,
,,ATNY_SAGL12_005,2022-08-06T04:00:00Z,Arden Blumenthal,New York - New Jersey Trail Conference,2,completely treated,198210,57272,40,<5,mature,sparse,flower,,,,,,,,,76-100,57272,,40,,,,,,,,,,,,,,,,
,,ATNY_SAGL12_005,2022-08-08T04:00:00Z,Arden Blumenthal,New York - New Jersey Trail Conference,2,completely treated,92193,47579,13,<5,mature,sparse,vegetative,,,,,,,,,76-100,47580,,13,,,,,,,,,,,,,,,,
,,ATNY_SAGL12_005,2022-08-26T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,2,completely treated,172969,4061,88,<5,mature,sparse,flower,low,high,,,,,,,76-100,4061,,88,,,,,,,,,,,,,,,,
_CYSC4_,ATNY,ATNY_SAGL12_006,2019-08-10T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,1,partially treated,,3176,,<5,mature,,immature fruit,,,,,,,,,25-Oct,3176,3175.96,,,,100,,,,,,Accord XRT II,5,1.4,gal,9.3,FL,,
_CYSC4_,ATNY,ATNY_SAGL12_006,2020-08-09T04:00:00Z,Devyani Mishra,New York - New Jersey Trail Conference,2,completely treated,,12632,39,<5,seedling,sparse,vegetative,medium,high,,,,,,,76-100,12632,,,,39,,,,,,,Accord XRT II,1,0.3595,gal,0.46,FL,,only treated 39 plants but used 3 lbs of herbicide. possible leak in one of the foliar sprayers
_ACAR10_,ATNY,ATNY_SAGL12_006,2021-06-19T04:00:00Z,Kassidy Robinson,New York - New Jersey Trail Conference,2,completely treated,287101,109518,344,25-May,mature,dense plants/clumps,vegetative,high,low,1168092,,,,,86,76-100,86987,,,,344,,,,,,,Accord XRT II,0.005,153.38,FL,0.77,FL,,steep slopes
_ACAR10_,ATNY,ATNY_SAGL12_006,2021-06-20T04:00:00Z,Kassidy Robinson,New York - New Jersey Trail Conference,2,completely treated,287101,109518,131,25-May,mature,dense plants/clumps,vegetative,high,low,1168092,,,,,86,76-100,86987,,,,131,,,,,,,Accord XRT II,0.005,92.03,FL,0.46,FL,,steep slopes
,,ATNY_SAGL12_006,2022-07-09T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,2,completely treated,244036,24572,686,25-May,mature,dense plants/clumps,vegetative,medium,medium,,,,,,,76-100,24572,,,,686,100,,,,,,Roundup Custom For Aquatic and Terrestrial Use,1.08,1.2,gal,3.837,FL,,
,,ATNY_SAGL12_006,2022-08-06T04:00:00Z,Arden Blumenthal,New York - New Jersey Trail Conference,2,completely treated,132664,54769,26,<5,mature,sparse,flower,,,,,,,,,76-100,54769,,26,,,,,,,,,,,,,,,,
_AREL8_,ATNY,ATNY_SAGL12_007,2017-06-29T04:00:00Z,Spencer Barrett,New York - New Jersey Trail Conference,2,completely treated,,18750,,25-May,adult non-reproducing,,vegetative,,,,,,,,,76-100,18750,2812,,,,100,,,,,,,1,1,gal,0.01,gal,,
_CYSC4_,ATNY,ATNY_SAGL12_007,2019-08-10T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,2,completely treated,,2677,,25-May,mature,,immature fruit,,,,,,,,,76-100,2677,2676.53,,,,100,,,,,,Accord XRT II,5,1.3,gal,8.6,FL,,Duell Hollow Rd to Leather Hill Rd. to AT intersection. Head left (West) to Western-most reach. Plants are on the right (North) before trail turns sharply left (South).
_CYSC4_,ATNY,ATNY_SAGL12_007,2020-08-08T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,2,completely treated,,98010,214,<5,mature,sparse,flower,high,medium,,,,,,,76-100,11761,,,,214,,,,,,,Accord XRT II,1,0.8987,gal,1.15,FL,,Along the AT
_ACAR10_,ATNY,ATNY_SAGL12_007,2021-06-19T04:00:00Z,Kassidy Robinson,New York - New Jersey Trail Conference,2,completely treated,111188,24252,71,<5,mature,sparse,vegetative,high,medium,1168091,,,,,86,76-100,16427,,,,71,,,,,,,Accord XRT II,0.005,61.36,FL,0.31,FL,,"gun shots, uneven terrain"
,,ATNY_SAGL12_007,2022-07-09T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,2,completely treated,110854,3383,30,<5,mature,sparse,vegetative,medium,medium,,,,,,,76-100,3383,,,,30,100,,,,,,Roundup Custom For Aquatic and Terrestrial Use,1.08,0.18,gal,0.46,FL,,
_AREL8_,ATNY,ATNY_SAGL12_008,2017-06-29T04:00:00Z,Spencer Barrett,New York - New Jersey Trail Conference,2,completely treated,,4800,,26-50,adult non-reproducing,,vegetative,,,,,,,,,76-100,4800,1440,,,,100,,,,,,Accord XRT II,1,0.66,gal,0.0066,gal,,
_PUMO_,ATNY,ATNY_SAGL12_009,2015-07-06T04:00:00Z,Linda Rohleder,New York - New Jersey Trail Conference,0,untreated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_PUMO_,ATNY,ATNY_SPJA_001,2015-07-06T04:00:00Z,Shelby Timm,New York - New Jersey Trail Conference,0,untreated,,4500,,76-100,adult reproducing,,flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,NY-325806U-P
_SAGL12_,ATNY,ATNY_SPJA_001,2017-05-23T04:00:00Z,Spencer Barrett,New York - New Jersey Trail Conference,0,untreated,,6400,,51-75,mature,,flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only adults and saplings visible. Only a few flowering
_AREL8_,ATNY,ATNY_SPJA_001,2017-06-30T04:00:00Z,Spencer Barrett,New York - New Jersey Trail Conference,2,completely treated,,6400,,76-100,adult reproducing,,flower,,,,,,,,,76-100,6400,6400,,,,100,,,,,,Accord XRT II,2.5,4.75,gal,11.88,oz,,"Foliar spray of Japanese Spirea next to the trail, tried to cover all of it but was harder to get to the central points."
,,ATNY_SPJA_001,2022-09-24T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,1,partially treated,29729,20432,651,26-50,mature,monoculture,immature fruit,high,medium,,,,,,,51-75,16329,,651,100,,,,,,,,,,,,,,,
_PUMO_,ATNY,ATNY_VIDI80_001,2015-07-06T04:00:00Z,Shelby Timm,New York - New Jersey Trail Conference,2,completely treated,,3,6,25-May,sapling,,vegetative,,,,,,,,,76-100,3,,6,,,,,,,,,,,,,,,,NY-325809U-P
,BASH,BASH_ALGL2_001,2007-07-19T04:00:00Z,Timothy Howard,New York Natural Heritage Program,0,untreated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_ACAR10_,BEAR,BEAR_AREL8_001,2015-06-06T04:00:00Z,Shelby Timm,New York - New Jersey Trail Conference,1,partially treated,,1200,,,sapling,,vegetative,,,,,,,,,,1200,,,,,,,,,71,,Pathfinder II,13.6,3.5,FL,3.5,FL,,NY-325833U-P
_ACAR10_,BEAR,BEAR_AREL8_002,2015-06-06T04:00:00Z,Shelby Timm,New York - New Jersey Trail Conference,1,partially treated,,30000,,,sapling,,vegetative,,,,,,,,,,,,3,,,,,,,39,,Pathfinder II,13.6,2,FL,2,FL,,NY-325884U-P
_PUMO_,BEAR,BEAR_AREL8_002,2016-05-26T04:00:00Z,Cody Mendoza,New York - New Jersey Trail Conference,2,completely treated,,2000,227,26-50,adult reproducing,,flower,,,,,,,,,76-100,2000,0.2,225,,,,,,2,,,Pathfinder II,13.6,0.5,FL,2,FL,,NY-321427U
_SYPA12_,BEAR,BEAR_AREL8_003,2016-06-04T04:00:00Z,Cody Mendoza,New York - New Jersey Trail Conference,2,completely treated,,4000,88,26-50,adult non-reproducing,,vegetative,,,,,,,,,76-100,4000,0.4,72,,,,,,,16,,Pathfinder II,13.6,,,2.25,FL,,NY-325977U-P
_ACAR10_,BEAR,BEAR_AREL8_004,2016-06-04T04:00:00Z,Cody Mendoza,New York - New Jersey Trail Conference,2,completely treated,,1500,268,76-100,adult non-reproducing,,vegetative,,,,,,,,,76-100,1500,25.3,15,,,,,,,253,,Pathfinder II,13.6,9,FL,,,,NY-325976U-P
_SYPA12_,BEAR,BEAR_AREL8_006,2021-05-27T04:00:00Z,Ryan McClean,New York - New Jersey Trail Conference,1,partially treated,238375,145490,666,51-75,mature,dense plants/clumps,vegetative,low,high,,,,,,,26-50,138521,,,,,,,,,666,,Pathfinder II,13.6,95.65,FL,95.65,FL,,Steep but managable hills
